QuestionID,Question,,,
54589934,What is the latest I can come today,Answer Unavailable,,
54585762,I can bring it in on Monday afternoon. How long will the service take because I might have to wait for it?,54587907,"Good Afternoon Zaher Bardai, we are available this Monday 7th in the afternoon at 1:30pm , 2:00pm, 3:00pm or 4:00pm , the service will take one hour half , what time is good for you to come in?

--Diana Cota DCH Toyota of Torrance",1769
54584239,I'm leaving town this eve. Really need it. I wonder if something happened to it when your employee drove it that 47 miles without myauthorization,Answer Unavailable,,
54583237,Why wouldn't I be able to patch it?,54586086,"Sorry about that I thought maybe you guys where in a hurry, let me know if you need me to do the tire?hope your experience was Excellent  see you next time :)

--Janet Roman DCH Toyota of Torrance",1881
54579135,Any idea of when part arrives ?,54580534,"Monday
--Chrissy Robertson DCH Toyota of Torrance",720
54576216,Maybe something happened when you guys drove 47 miles,54576582,"i have two  tech guys on trying to figure out the noise. we did rotate the tires back and recheck the brake work, the noise is still there. 
",123
54561991,Daniel - the link opens but unable to open invoice to review-I will pay when I pick up the car.,Answer Unavailable,,
54556522,Thanks let me know when ready and what final total is.,54556557,"ok John.

--Margaret Kang DCH Toyota of Torrance",10
54556522,Thanks let me know when ready and what final total is.,54556557,"ok John.

--Margaret Kang DCH Toyota of Torrance",10
54555019,Do items 2 and 3 please. With oil change. No on item 1 and 4. Let me know when ready,54555198,"OK!

--Margaret Kang DCH Toyota of Torrance",42
54550547,Approximately what time do you think my car will be ready?,54550679,Should be ready by 3:00pm,31
54546504,Ok. What is all that going to cost?  Going broke on this car!,54546877,Your only paying for the tires your not paying for the relay on ac because it didn't work tires were $350 plus tax,123
54540303,What did they say about the passengers seat. I thought it was getting fixed. Looks like nothing is done,54540589,"the seat cover has to be replaced ( i am waiting to get authorization from the extended warranty) 
",64
54521184,Hi Margaret.  Do you know when the shuttle will pick me up?,Answer Unavailable,,
54520615,I will be there at 1130. My tpms light flashes which indicates a fault. And it hugely annoying. So I need to know exactly which tire is cussing the problem. However I am not going to pay 120 per tire to fix that light . I need oil change as well. Jd. Have a shuttle bring me home please. Thanks,54521540,"ok.. I will see you at 12:30.

--Margaret Kang DCH Toyota of Torrance",281
54505032,The car should be ready in an hour.  How about 11:00 a.m.?,54505116,"OK

--Margaret Kang DCH Toyota of Torrance",33
54452598,Hi about how much longer?,54452876,"Right now am closing it out 
 

--Janet Roman DCH Toyota of Torrance",287
54450673,How much are rear rotors by themselves,54450735,with no discount for factory rotors 139.40 each,46
54448683,"Thanks Miguel this is Nery I noticed when I pick my car up it had 116 miles on it after I charged it myself and only charge up to 91 miles is there something I can do to get me closer to that 116, or is that indicative of the same problem? Thank you",Answer Unavailable,,
54447057,"I see it, just tell them to pick it up and call me when they are at the gate",Answer Unavailable,,
54446436,"I can drop it off in the morning, what am I looking for?",54446565,"Should be a power gun located in the rear hatch area.

--Daniel Poplar DCH Toyota of Torrance",85
54432863,Hi Deanna! What are those recommended services that were not completed?,54436140,"Hi Ray, 
They recommended Spark Plugs and Timing belt replacement(includes timing belt, water pump, seals,drive belt bearings) to be replaced on your vehicle.

--Deanna Chapman DCH Toyota of Torrance",1110
54430041,Who is this and where r u calling from?,Answer Unavailable,,
54429643,"You read my mind! I've been meaning to make an appointment.  I'd like the earliest appointment possible in Monday, Thursday or Friday next week. What do you have available? Karen",54431635,Great ! I have Monday available what time works best for you?  We open at 7am,663
54420120, Hi Daniel - I wasn't  aware of any other services that my car needed - can U please let know what it is ?,Answer Unavailable,,
54410711,what time are you guys open until today?,54411027,"7:00 pm, if you need after hours set up just let me know by 4:00 and i can arrange that until 8:30 on our sales department .

--Miguel Ortiz DCH Toyota of Torrance",54
54406173,Thank you. Approximately how long will the service take?,54406336,"Hi William, the service will take one hour half.

--Diana Cota DCH Toyota of Torrance",30
54405739,How long will that take do you think? ,54405945,"Hopefully it's just a matter of re securing it and shouldn't take to long.

--Marvin Cabrera DCH Toyota of Torrance",61
54403159,What time can I pick it up tomorrow,54403575,it will be ready around 10am,110
54399506,"Ok, but it is hard to duplicate because it is completely random, it only happens sometimes when braking. This is the exact noise: https://www.youtube.com/watch?v=ocWvceKApIo",54409101,"Yes I heard the noise im forwarding to Jose the technician maybe he can pin point thank you for this
",2659
54397515,Yeah. How much will this be,Answer Unavailable,,
54385708,"Oh ... so if in your opinion he did, than what do you think it cost the loosen of the screw ?",Answer Unavailable,,
54385282,"Hi Deanna, 
I will do the recommended repair with the next oil change,
Pl let me know how much discount you are giving. I am saving this text and show it for next visit, 
Thanks, 
Suman Laha.",54390995,"Hi Suman,
Here is pricing with 10% off labor costs. Induction Service $138.39/ Brake Fluid Exchange $138.45. Let me know when you are ready to come in and i can set you up with an appointment. Have a great day.

--Deanna Chapman DCH Toyota of Torrance",1640
54383609,What cost the wiper arm to be loose ?,54383655,"the wiper arm has to come out to gain access to the spark plugs. 
",21
54383381,And what cost the wiper arm to be loose ?,Answer Unavailable,,
54382601,What was the problem ?,54382785,"the wiper arm was loose. 
",25
54378832,Tomorrow morning works better for me. At what time are the earliest appointments,54379959,"Great Delia, we are available tomorrow at 7:30 am, 8:00 am or 8:30 am , what time is good for you to come in?

--Diana Cota DCH Toyota of Torrance",314
